date,open,high,low,close,volume
1993-03-11,106.01,106.96,105.22,106.96,9620782
1993-03-12,107.24,108.68,106.28,106.28,269276
1993-03-15,105.73,108.56,105.73,108.56,2079484
1993-03-16,110.35,111.73,110.35,110.63,4447478
1993-03-17,109.58,109.73,109.53,109.67,677592
1993-03-18,110.31,111.42,110.31,111.42,3331
1993-03-19,111.74,111.74,108.46,108.79,1581146
1993-03-22,109.58,109.69,109.39,109.61,100025
1993-03-23,110.09,110.28,108.24,108.57,760960
1993-03-24,109.34,111.77,109.34,110.29,253199
1993-03-25,108.43,111.95,108.37,108.37,1171704
1993-03-26,107.80,108.65,107.50,107.50,167190
1993-03-29,108.27,111.42,108.27,111.42,319509
1993-03-30,110.96,114.76,110.96,113.54,861432
1993-03-31,112.41,113.45,112.02,113.45,486691
1993-04-01,113.22,114.69,112.73,114.69,298348
1993-04-02,116.15,117.17,115.90,116.25,274080
1993-04-05,118.54,118.54,117.71,118.20,19810
1993-04-06,118.00,118.00,117.14,117.14,1722043
1993-04-07,119.30,119.46,118.53,118.62,100829
1993-04-08,116.70,116.70,112.71,112.71,348383
1993-04-09,112.86,112.86,111.91,111.91,8866737
1993-04-12,113.81,113.81,109.70,109.70,57429
1993-04-13,110.64,112.26,110.57,110.57,4305096
1993-04-14,110.39,110.39,109.53,109.72,223965
1993-04-15,111.19,111.19,109.87,109.87,2718110
1993-04-16,110.36,112.10,110.36,111.45,684050
1993-04-19,110.35,110.35,109.09,109.09,3242544
1993-04-20,108.93,110.84,108.93,110.84,7005940
1993-04-21,110.33,110.33,109.83,109.88,12829986
1993-04-22,109.67,110.55,109.20,110.55,15589
1993-04-23,110.96,112.25,110.96,111.13,221765
1993-04-26,109.89,109.89,107.59,108.18,9560304
1993-04-27,108.37,110.00,108.37,109.01,167042
1993-04-28,107.72,107.72,105.16,106.37,104211
1993-04-29,106.45,108.55,106.45,108.55,338815
1993-04-30,109.24,110.97,109.24,110.97,2348231
1993-05-03,111.18,111.32,110.72,110.72,125968
1993-05-04,109.14,110.38,108.36,110.38,198077
1993-05-05,109.33,112.03,109.06,112.03,310871
1993-05-06,110.08,110.08,105.64,105.64,1162529
1993-05-07,104.72,106.54,104.72,105.98,761898
1993-05-10,108.33,108.83,107.71,108.83,10305
1993-05-11,107.80,108.23,107.80,108.06,13310066
1993-05-12,108.80,108.85,107.98,108.85,118299
1993-05-13,108.35,108.94,108.33,108.94,549812
1993-05-14,109.10,109.10,107.86,107.86,92064
1993-05-17,109.69,110.01,107.68,107.68,3703354
1993-05-18,107.17,107.17,104.64,104.64,2695143
1993-05-19,106.01,108.24,106.01,107.31,46907
1993-05-20,105.07,106.77,105.05,106.77,514429
1993-05-21,108.72,108.72,107.79,108.35,756872
1993-05-24,109.49,109.49,107.77,107.77,465431
1993-05-25,109.82,109.82,107.68,108.80,403891
1993-05-26,110.46,111.33,110.15,110.40,15629
1993-05-27,109.91,109.91,107.93,109.27,734757
1993-05-28,107.33,110.26,107.33,110.26,979518
1993-05-31,112.00,114.42,112.00,113.51,177290
1993-06-01,113.71,114.54,113.56,113.56,160280
1993-06-02,112.51,113.35,112.51,113.35,1631836
1993-06-03,111.63,111.63,110.50,110.95,1588047
1993-06-04,110.06,110.19,108.52,108.52,962038
1993-06-07,109.26,110.13,108.87,108.99,2302621
1993-06-08,108.30,110.86,108.30,110.86,1943946
1993-06-09,112.92,112.92,109.00,109.69,711460
1993-06-10,109.70,110.18,109.40,109.40,19885
1993-06-11,109.73,113.43,109.73,112.29,3975055
1993-06-14,112.95,112.95,110.33,110.76,1128848
1993-06-15,109.98,112.16,109.98,112.16,3855477
1993-06-16,112.37,112.37,109.85,109.85,2914844
1993-06-17,110.72,113.59,110.72,113.43,1190269
1993-06-18,113.42,116.36,113.42,116.36,77823
1993-06-21,116.64,118.57,116.64,118.57,1650246
1993-06-22,117.03,118.52,117.03,118.52,308882
1993-06-23,118.88,118.90,118.05,118.11,800355
1993-06-24,118.33,119.81,118.33,119.59,4761929
1993-06-25,117.55,118.26,117.50,118.26,150779
1993-06-28,116.24,119.26,116.24,119.26,1197700
1993-06-29,120.43,123.68,120.43,122.22,223505
1993-06-30,123.33,123.33,121.51,121.80,108245
1993-07-01,121.65,123.93,121.65,123.06,274276
1993-07-02,123.72,124.49,122.97,123.36,485662
1993-07-05,123.16,125.55,123.16,124.93,2262000
1993-07-06,124.07,124.35,121.52,124.35,474144
1993-07-07,125.47,126.30,125.41,125.41,267322
1993-07-08,125.96,129.26,125.96,129.26,29894477
1993-07-09,129.24,129.24,126.87,127.86,169541
1993-07-12,127.34,127.34,124.33,124.33,118472
1993-07-13,125.13,125.78,123.11,125.11,2032893
1993-07-14,126.04,127.41,125.72,127.41,314520
1993-07-15,127.94,130.34,127.94,129.06,4055813
1993-07-16,128.31,128.60,126.86,126.86,143288
1993-07-19,126.71,126.71,126.36,126.63,3655182
1993-07-20,125.59,125.59,122.43,122.43,2714497
1993-07-21,122.25,123.51,122.13,122.13,494011
1993-07-22,122.49,122.55,119.36,119.36,203462
1993-07-23,119.87,122.67,119.87,122.67,44441
1993-07-26,121.49,123.60,121.49,122.59,843588
1993-07-27,121.76,121.76,119.72,119.72,1525257
1993-07-28,121.16,121.16,118.04,118.74,74293
1993-07-29,118.48,121.78,118.48,121.78,2067207
1993-07-30,122.53,123.45,119.87,119.87,258693
1993-08-02,118.66,121.01,118.66,120.25,182522
1993-08-03,121.70,122.26,121.34,121.34,1401604
1993-08-04,120.46,121.94,120.46,121.94,820849
1993-08-05,122.97,122.97,121.19,121.19,298460
1993-08-06,120.19,123.21,120.19,123.21,352681
1993-08-09,121.69,123.68,121.69,122.94,17630
1993-08-10,122.02,122.24,121.56,121.82,30026
1993-08-11,124.27,124.60,123.95,124.60,6621830
1993-08-12,124.38,127.37,124.38,127.37,437449
1993-08-13,125.94,128.85,125.94,128.58,270562
1993-08-16,129.15,133.60,129.15,133.60,14280
1993-08-17,134.03,135.87,134.03,135.87,777003
1993-08-18,137.62,139.28,136.70,136.76,1997582
1993-08-19,134.23,136.26,134.23,136.12,2048221
1993-08-20,139.41,139.63,138.54,139.54,70465
1993-08-23,139.44,139.59,137.21,139.59,439710
1993-08-24,139.73,143.19,139.73,143.19,1100001
1993-08-25,142.84,144.05,142.62,144.05,1317527
1993-08-26,143.79,146.89,143.79,146.89,2549260
1993-08-27,146.61,146.61,144.25,145.77,195476
1993-08-30,148.15,148.52,147.74,147.74,859885
1993-08-31,148.88,148.88,147.42,147.42,462997
1993-09-01,146.68,147.56,144.21,147.56,213093
1993-09-02,145.62,145.62,141.14,141.14,1928416
1993-09-03,142.12,142.98,141.27,142.98,121964
1993-09-06,142.14,142.14,139.86,139.86,705619
1993-09-07,140.09,143.97,140.09,143.97,365513
1993-09-08,143.42,143.42,141.48,142.58,8287212
1993-09-09,141.98,142.90,141.46,141.46,888516
1993-09-10,143.20,143.20,142.97,143.20,3065484
1993-09-13,140.63,140.63,139.08,139.08,634436
1993-09-14,136.78,139.94,136.78,139.94,391429
1993-09-15,141.86,141.86,139.53,141.02,986224
1993-09-16,140.03,141.60,140.03,141.14,588580
1993-09-17,140.76,140.76,135.81,135.81,138989
1993-09-20,137.68,137.68,135.73,136.46,1766832
1993-09-21,136.70,136.70,132.53,133.81,233690
1993-09-22,133.61,133.61,132.09,132.62,58392
1993-09-23,132.21,132.21,130.31,130.31,850434
1993-09-24,130.84,130.84,127.79,127.79,13988
1993-09-27,126.59,126.59,125.57,125.57,482600
1993-09-28,124.28,125.18,124.07,124.07,832007
1993-09-29,124.34,126.20,124.34,124.97,96236
1993-09-30,125.22,125.49,123.63,125.49,189007
1993-10-01,127.72,127.91,126.55,127.91,389738
1993-10-04,125.98,125.98,125.20,125.20,1570658
1993-10-05,125.79,125.79,122.41,122.41,6025385
1993-10-06,123.49,124.73,123.49,124.04,1242083
1993-10-07,124.39,125.82,124.39,125.82,160387
1993-10-08,127.39,130.09,127.39,128.87,261477
1993-10-11,129.60,130.29,129.02,130.29,256408
1993-10-12,128.65,130.96,128.65,130.20,1676964
1993-10-13,127.75,130.82,127.75,130.82,603747
1993-10-14,131.05,131.78,130.78,130.78,946824
1993-10-15,132.58,132.58,130.28,130.28,255680
1993-10-18,130.80,131.72,130.12,130.12,36793
1993-10-19,129.93,131.29,127.91,131.29,836484
1993-10-20,130.56,130.56,128.01,128.56,156806
1993-10-21,127.00,128.78,126.33,128.78,278538
1993-10-22,129.36,129.36,127.59,127.59,2173893
1993-10-25,128.63,128.63,127.21,127.63,1438118
1993-10-26,127.28,129.58,127.28,129.58,822235
1993-10-27,129.30,131.34,129.30,131.34,856065
1993-10-28,130.91,132.02,130.68,132.02,115948
1993-10-29,130.28,131.69,130.03,131.59,333438
1993-11-01,131.64,133.12,129.86,132.64,503254
1993-11-02,131.39,131.39,128.67,128.67,900736
1993-11-03,127.36,128.34,127.36,128.30,544602
1993-11-04,129.40,135.05,129.40,135.05,188543
1993-11-05,136.10,137.59,135.89,136.44,2125526
1993-11-08,136.43,137.60,136.15,137.60,264844
1993-11-09,137.77,139.71,137.77,139.71,1012277
1993-11-10,139.30,139.30,138.49,139.20,1145029
1993-11-11,139.45,143.37,139.45,143.37,626735
1993-11-12,143.85,143.85,140.48,140.48,38351
1993-11-15,141.24,141.58,140.42,141.58,150544
1993-11-16,141.69,144.63,141.69,144.48,345271
1993-11-17,142.23,142.23,138.33,138.33,3009684
1993-11-18,140.22,143.70,140.22,143.70,45283770
1993-11-19,146.26,149.05,146.26,149.05,3134291
1993-11-22,149.74,151.21,149.74,150.97,1040412
1993-11-23,151.10,151.80,150.74,151.80,265552
1993-11-24,150.57,151.75,149.65,151.75,109192
1993-11-25,152.81,153.21,150.62,150.62,409823
1993-11-26,150.58,152.52,149.52,152.52,29710
1993-11-29,153.27,156.25,153.09,153.09,1221858
1993-11-30,154.61,155.88,153.76,154.00,22572
1993-12-01,154.08,155.33,153.83,153.83,590569
1993-12-02,152.87,152.87,150.38,151.10,5756596
1993-12-03,150.86,150.86,148.22,148.22,200052
1993-12-06,149.19,149.19,147.00,147.54,75421
1993-12-07,149.08,150.20,149.08,150.17,599012
1993-12-08,148.16,149.73,148.16,149.29,86554
1993-12-09,148.14,148.27,146.58,146.58,829416
1993-12-10,148.09,149.11,146.03,149.11,186030
1993-12-13,147.97,152.74,147.97,152.74,652534
1993-12-14,152.72,152.72,151.88,151.89,14583284
1993-12-15,152.17,154.06,150.85,154.06,4465308
1993-12-16,156.62,156.62,154.39,155.04,2754094
1993-12-17,154.72,156.21,154.67,156.21,4275549
1993-12-20,155.67,155.67,154.54,154.90,989213
1993-12-21,154.72,154.84,153.30,153.96,7091436
1993-12-22,152.06,153.81,152.06,153.81,63088
1993-12-23,153.03,153.03,150.99,152.65,198797
1993-12-24,153.82,155.19,153.23,153.23,33528
1993-12-27,154.98,154.98,152.68,153.62,1736706
1993-12-28,152.81,152.81,150.78,152.39,951743
1993-12-29,153.08,154.81,153.08,153.96,209683
1993-12-30,153.43,156.96,153.43,156.96,239865
1993-12-31,158.45,162.06,158.45,162.06,499130
1994-01-03,161.19,164.84,161.19,164.84,76988
1994-01-04,165.42,167.27,165.42,166.13,353957
1994-01-05,165.18,167.19,165.18,167.19,7051127
1994-01-06,165.18,165.18,158.57,158.57,2618
1994-01-07,158.78,158.78,155.87,155.87,505678
1994-01-10,156.64,157.81,156.64,157.20,121441
1994-01-11,158.09,161.45,158.09,161.45,1121483
1994-01-12,161.32,162.60,161.32,161.57,261862
1994-01-13,161.64,161.64,159.58,159.58,170711
1994-01-14,159.05,162.56,158.49,162.56,721125
1994-01-17,163.61,165.12,162.93,165.12,205643
1994-01-18,165.58,165.58,161.77,161.77,1827470
1994-01-19,165.86,165.86,160.98,160.98,205721
1994-01-20,160.51,160.51,158.83,159.19,34577
1994-01-21,160.12,162.02,160.12,160.99,48307
1994-01-24,161.60,162.30,159.95,162.30,542588
1994-01-25,164.99,165.92,163.36,165.08,240247
1994-01-26,164.91,164.91,160.87,161.60,1397278
1994-01-27,161.45,161.45,159.53,159.53,282363
1994-01-28,159.97,159.97,159.77,159.77,1297173
1994-01-31,160.52,162.16,160.16,160.16,1192147
1994-02-01,161.89,164.23,161.89,162.07,887160
1994-02-02,160.03,160.56,159.12,159.12,2044249
1994-02-03,159.24,160.20,159.24,159.87,116871
1994-02-04,157.58,160.79,157.58,160.79,78015
1994-02-07,161.18,165.44,160.68,165.44,1056098
1994-02-08,167.86,168.26,167.69,167.69,1806722
1994-02-09,168.18,171.32,168.18,171.32,230834
1994-02-10,173.06,175.51,173.06,175.51,54923
1994-02-11,174.99,176.71,174.96,174.96,49355
1994-02-14,172.33,175.62,172.33,175.62,4903650
1994-02-15,175.60,175.60,171.48,171.48,1446199
1994-02-16,173.21,177.27,172.98,177.27,792250
1994-02-17,175.98,178.41,174.26,177.82,550863
1994-02-18,178.41,178.41,175.64,175.64,337703
1994-02-21,175.51,175.51,173.16,173.20,2336976
1994-02-22,170.88,174.98,170.88,174.98,1676372
1994-02-23,173.82,173.82,173.22,173.64,230257
1994-02-24,175.39,175.39,171.25,171.29,586207
1994-02-25,170.46,172.54,170.46,171.30,698720
1994-02-28,170.20,172.43,168.76,168.76,963
1994-03-01,170.79,175.94,170.79,175.94,1001028
1994-03-02,176.47,176.47,171.95,171.95,118724
1994-03-03,174.89,176.52,174.68,174.68,1648245
1994-03-04,177.33,177.33,175.93,176.39,121946
1994-03-07,173.30,178.75,173.30,178.72,532445
1994-03-08,176.81,176.81,173.24,173.64,1030727
1994-03-09,175.44,175.44,169.55,170.01,732911
1994-03-10,170.36,170.51,168.73,168.73,286336
1994-03-11,166.56,166.56,164.52,165.73,1154562
1994-03-14,167.91,170.35,167.91,170.09,1635145
1994-03-15,171.64,173.40,171.06,171.95,31184
1994-03-16,169.20,171.02,169.20,171.02,520331
1994-03-17,170.24,175.25,170.24,175.25,866696
1994-03-18,172.89,172.89,170.80,172.26,305463
1994-03-21,172.20,174.89,172.20,172.95,26635
1994-03-22,174.53,174.53,171.56,172.03,253906
1994-03-23,170.81,172.96,170.81,172.85,65091
1994-03-24,171.65,172.83,170.41,172.83,539741
1994-03-25,174.12,174.66,170.29,170.29,35956
1994-03-28,169.61,169.78,167.90,169.78,1655539
1994-03-29,169.77,172.27,169.77,170.82,163609
1994-03-30,172.85,172.85,162.36,162.36,1595142
1994-03-31,160.12,160.12,154.58,157.32,37936
1994-04-01,157.54,164.23,157.54,164.23,516185
1994-04-04,166.70,166.70,164.68,164.68,820250
1994-04-05,163.24,164.92,162.82,164.92,104653
1994-04-06,166.18,166.18,161.86,161.93,184621
1994-04-07,161.10,164.01,161.10,162.53,2942393
1994-04-08,164.39,166.24,164.39,166.24,128897
1994-04-11,167.94,167.94,165.06,165.98,726845
1994-04-12,167.68,168.71,166.66,168.71,237188
1994-04-13,167.43,168.45,165.82,165.82,290645
1994-04-14,163.51,163.51,161.60,162.65,856999
1994-04-15,164.66,169.31,164.66,169.31,227598
1994-04-18,169.35,169.35,166.44,166.44,262857
1994-04-19,168.19,173.89,168.19,173.89,319144
1994-04-20,173.39,174.18,172.17,174.18,631517
1994-04-21,173.38,175.39,173.38,175.39,284518
1994-04-22,173.30,178.60,173.30,178.60,70083
1994-04-25,179.66,179.66,176.25,177.22,31322
1994-04-26,177.64,178.10,176.34,178.10,85195
1994-04-27,181.62,181.62,177.22,178.96,3933496
1994-04-28,179.32,179.32,174.29,174.51,331370
1994-04-29,176.06,176.45,173.23,176.45,2809886
1994-05-02,177.54,181.99,177.54,181.53,416354
1994-05-03,186.06,186.06,178.47,178.47,6734263
1994-05-04,178.72,179.59,176.46,176.46,57263
1994-05-05,176.26,176.26,174.40,174.71,1731591
1994-05-06,172.51,174.28,172.42,174.28,140424
1994-05-09,171.49,172.38,170.37,170.37,51195
1994-05-10,170.55,174.30,170.55,174.30,1136822
1994-05-11,175.42,178.83,175.42,178.83,15017420
1994-05-12,179.07,180.40,179.07,180.40,2891924
1994-05-13,180.08,181.60,178.77,178.77,2553820
1994-05-16,176.86,180.44,176.86,180.44,5320213
1994-05-17,177.78,182.31,177.78,181.14,416952
1994-05-18,185.28,188.93,185.28,188.93,1857702
1994-05-19,187.82,188.74,187.33,187.33,1466835
1994-05-20,186.74,188.99,186.74,187.52,536294
1994-05-23,190.28,191.70,188.04,191.70,21439
1994-05-24,190.37,190.37,185.79,188.37,400632
1994-05-25,185.91,189.34,185.91,189.34,548542
1994-05-26,190.97,196.37,189.16,196.37,1796401
1994-05-27,198.26,198.26,196.65,198.24,248420
1994-05-30,195.35,197.91,195.16,197.89,150523
1994-05-31,196.10,197.61,194.77,197.48,1198688
1994-06-01,196.51,200.59,196.51,200.59,2714642
1994-06-02,202.35,202.76,199.71,202.76,181053
1994-06-03,202.91,204.79,199.34,199.34,887289
1994-06-06,197.06,199.92,196.66,199.92,68293
1994-06-07,199.38,199.38,194.09,197.86,48849
1994-06-08,195.08,197.00,195.08,195.65,400827
1994-06-09,199.04,199.04,198.02,198.02,795725
1994-06-10,197.28,197.28,194.73,195.07,446315
1994-06-13,194.49,197.42,194.44,195.00,69116
1994-06-14,194.70,194.81,193.21,194.07,2522282
1994-06-15,195.12,196.95,195.12,196.95,1904574
1994-06-16,196.82,196.82,191.23,191.23,436793
1994-06-17,190.82,191.44,189.07,189.07,75183
1994-06-20,189.12,189.12,185.85,186.69,330702
1994-06-21,186.31,186.62,183.77,185.43,80146
1994-06-22,182.76,182.76,179.16,179.16,1010555
1994-06-23,178.14,184.00,178.14,181.74,451080
1994-06-24,181.43,183.63,181.43,183.54,2679551
1994-06-27,184.83,185.29,184.36,184.53,831677
1994-06-28,181.12,181.12,176.26,176.26,1414861
1994-06-29,176.89,179.21,176.89,177.68,1037815
1994-06-30,178.74,179.36,175.16,175.16,112545
1994-07-01,172.72,174.61,171.31,174.61,226651
1994-07-04,174.61,178.48,174.61,178.48,1913701
1994-07-05,178.61,180.08,178.42,180.08,303102
1994-07-06,178.28,181.43,176.80,176.80,3818255
1994-07-07,174.92,176.54,174.92,175.78,387482
1994-07-08,177.09,183.51,177.09,183.51,100369
1994-07-11,180.70,184.74,180.65,184.74,96880
1994-07-12,181.14,187.03,181.14,187.03,20795
1994-07-13,188.57,191.27,188.57,191.27,30143
1994-07-14,190.23,193.23,190.23,193.23,164584
1994-07-15,196.75,200.98,196.75,200.98,216172
1994-07-18,201.07,203.42,199.07,203.42,624353
1994-07-19,200.13,201.49,200.13,200.54,41238
1994-07-20,201.05,201.19,198.48,198.48,2562645
1994-07-21,198.91,198.91,194.92,197.37,81644
1994-07-22,198.86,200.47,195.84,200.47,4834308
1994-07-25,199.18,201.11,198.26,201.11,2923068
1994-07-26,199.89,203.48,199.89,200.27,248836
1994-07-27,198.74,199.34,195.99,196.49,175920
1994-07-28,195.73,200.78,195.73,200.78,106095
1994-07-29,199.36,199.36,195.40,196.54,237629
1994-08-01,196.39,198.90,194.75,194.75,6812288
1994-08-02,194.09,195.60,192.44,192.44,304682
1994-08-03,192.98,195.08,192.34,194.38,170713
1994-08-04,194.67,194.67,190.74,190.74,903923
1994-08-05,188.92,188.92,183.95,183.95,1347198
1994-08-08,180.39,180.39,178.17,178.17,568443
1994-08-09,177.74,181.88,177.74,181.88,497121
1994-08-10,179.82,182.15,179.82,182.15,1260534
1994-08-11,179.61,179.61,174.21,174.21,266815
1994-08-12,171.88,171.88,166.26,166.26,961923
1994-08-15,167.60,168.47,167.37,167.37,1496101
1994-08-16,165.09,167.55,164.28,167.55,1378601
1994-08-17,169.79,172.52,169.79,171.26,352234
1994-08-18,171.67,171.94,169.96,171.73,606264
1994-08-19,171.61,171.66,168.63,171.25,232596
1994-08-22,168.68,171.06,168.68,170.90,4259598
1994-08-23,170.66,170.66,167.62,167.92,11613217
1994-08-24,166.75,168.81,164.65,168.81,2648777
1994-08-25,168.92,171.70,168.92,171.48,1650374
1994-08-26,170.93,171.28,169.54,171.28,682463
1994-08-29,169.64,169.64,168.04,168.04,61831
1994-08-30,164.00,168.54,164.00,165.98,2907891
1994-08-31,168.16,170.72,167.15,170.72,165163
1994-09-01,172.78,175.35,172.78,175.07,61557
1994-09-02,174.62,174.62,169.88,169.88,87201
1994-09-05,168.04,169.05,165.17,165.17,71083
1994-09-06,163.56,165.61,163.35,165.61,22297
1994-09-07,167.14,167.14,164.32,164.32,265101
1994-09-08,161.36,162.89,160.13,162.89,4927041
1994-09-09,163.02,163.85,161.02,161.02,2266199
1994-09-12,163.19,164.53,162.37,163.78,430009
1994-09-13,163.92,167.25,163.47,166.07,451299
1994-09-14,163.97,165.30,163.97,165.30,1132292
1994-09-15,161.89,163.75,160.93,160.93,599372
1994-09-16,158.79,159.83,158.62,159.83,763104
1994-09-19,158.74,159.92,158.03,158.03,122116
1994-09-20,159.45,163.09,159.45,163.09,3114563
1994-09-21,164.15,165.05,163.17,164.06,220387
1994-09-22,163.26,164.56,160.60,164.56,16301103
1994-09-23,166.52,170.00,166.52,169.73,281411
1994-09-26,165.98,165.98,164.76,164.76,73078
1994-09-27,164.23,164.64,163.65,163.84,158260
1994-09-28,165.05,169.95,165.05,169.95,90698
1994-09-29,170.88,174.81,170.88,174.81,3858076
1994-09-30,176.43,180.21,176.43,180.21,17781930
1994-10-03,180.50,187.62,180.50,187.62,30915
1994-10-04,189.38,194.08,189.38,191.27,4283180
1994-10-05,188.82,188.82,187.45,188.75,215271
1994-10-06,188.98,192.14,188.98,191.56,220840
1994-10-07,192.86,198.74,192.86,198.74,1825189
1994-10-10,195.62,198.58,195.62,198.58,744746
1994-10-11,196.73,198.99,196.63,198.99,538424
1994-10-12,201.23,202.19,197.50,202.19,584999
1994-10-13,200.25,200.25,192.36,193.18,111826
1994-10-14,192.34,195.95,192.34,194.77,224941
1994-10-17,196.69,196.69,190.73,190.73,168678
1994-10-18,189.65,191.29,188.61,191.29,718559
1994-10-19,193.31,193.31,191.32,191.47,216559
1994-10-20,190.08,194.82,190.08,194.21,51095
1994-10-21,194.58,195.34,192.61,195.34,564260
1994-10-24,195.02,195.21,192.46,192.46,2185199
1994-10-25,192.16,197.90,192.16,197.90,678714
1994-10-26,196.35,198.99,196.00,198.99,415657
1994-10-27,200.43,200.43,194.43,194.43,994377
1994-10-28,191.74,193.35,190.66,193.35,1029488
1994-10-31,196.08,196.08,193.61,195.16,331572
1994-11-01,196.41,197.02,196.26,196.26,1067933
1994-11-02,194.87,198.38,194.87,198.38,4503727
1994-11-03,198.85,198.85,191.07,191.07,112879
1994-11-04,189.13,189.13,183.22,183.22,93547
1994-11-07,182.64,183.05,182.25,183.05,59348
1994-11-08,182.49,182.49,178.49,178.77,221916
1994-11-09,179.07,179.53,177.68,177.68,235504
1994-11-10,177.93,181.11,177.93,181.11,522500
1994-11-11,181.31,181.31,176.62,176.62,498852
1994-11-14,176.05,177.71,175.86,175.86,604408
1994-11-15,176.51,180.38,176.51,179.82,3189605
1994-11-16,180.89,184.47,180.89,183.95,1698300
1994-11-17,181.35,187.17,181.35,187.17,490757
1994-11-18,188.37,188.37,183.93,183.93,315402
1994-11-21,182.95,182.95,180.59,180.59,1992844
1994-11-22,183.90,186.99,183.90,184.29,1017919
1994-11-23,185.94,186.77,182.65,182.65,1352994
1994-11-24,181.76,185.83,181.76,185.83,30428
1994-11-25,186.79,189.00,186.21,189.00,651377
1994-11-28,190.34,190.34,188.22,188.47,33130
1994-11-29,188.75,188.95,186.39,186.39,200453
1994-11-30,188.53,190.22,188.53,189.46,2993384
1994-12-01,189.92,195.03,189.56,193.23,184931
1994-12-02,194.42,196.96,194.13,196.96,906660
1994-12-05,200.62,201.55,199.90,199.96,2492266
1994-12-06,198.38,204.01,198.38,204.01,5075037
1994-12-07,203.68,205.38,200.36,200.36,38488
1994-12-08,200.77,200.77,198.03,200.00,86290
1994-12-09,197.64,200.27,197.64,199.26,2141
1994-12-12,195.88,198.86,195.88,198.86,15027
1994-12-13,198.86,204.13,198.86,204.13,627578
1994-12-14,203.44,204.30,199.77,199.77,598018
1994-12-15,198.74,201.08,197.39,201.08,1031450
1994-12-16,200.04,200.04,198.83,198.83,69348
1994-12-19,200.46,203.02,200.46,203.02,79970
1994-12-20,201.26,201.26,197.97,197.97,1652342
1994-12-21,200.33,203.69,199.02,203.69,6277
1994-12-22,200.29,204.05,200.29,203.54,396904
1994-12-23,200.49,205.59,200.27,205.59,516700
1994-12-26,207.23,211.39,207.23,211.39,443403
1994-12-27,212.10,214.70,211.65,212.40,842746
1994-12-28,213.08,213.08,206.64,206.64,489785
1994-12-29,207.26,210.19,207.26,207.72,6752397
1994-12-30,208.38,213.03,208.38,211.65,786662
1995-01-02,217.52,220.85,217.52,218.97,2267259
1995-01-03,217.38,217.69,216.37,216.81,77597
1995-01-04,218.85,222.43,215.65,215.65,104940
1995-01-05,217.20,217.20,214.03,214.03,3067541
1995-01-06,210.95,215.27,210.95,215.27,3236345
1995-01-09,210.05,210.39,207.13,207.13,397702
1995-01-10,206.61,206.61,203.10,205.35,410388
1995-01-11,203.61,205.67,203.61,204.56,238902
1995-01-12,205.09,205.09,200.15,200.15,10520
